UNITID,PopCode,EFTOTLT,Population
100654,1,7295,All Students
100654,2,6370,Undergrad
100654,3,6124,
100654,4,1968,
100654,5,4156,
100654,11,246,
100654,12,925,Graduate
100654,19,225,
100654,20,3931,
100654,21,6291,
100654,22,5673,
100654,23,5668,
100654,24,1939,
100654,25,3729,
100654,31,5,
100654,32,618,
100654,39,206,
100654,40,3523,
100654,41,1004,
100654,42,697,
100654,43,456,
100654,44,29,
100654,45,427,
100654,51,241,
100654,52,307,
100654,59,19,
100654,60,408,
100663,1,20905,All Students
100663,2,11959,Undergrad
100663,3,11635,
100663,4,2014,
100663,5,9621,
100663,11,324,
100663,12,8946,Graduate
100663,19,1098,
100663,20,8523,
100663,21,14679,
100663,22,9592,
100663,23,9535,
100663,24,1993,
100663,25,7542,
100663,31,57,
100663,32,5087,
100663,39,798,
100663,40,6744,
100663,41,6226,
100663,42,2367,
100663,43,2100,
100663,44,21,
100663,45,2079,
100663,51,267,
100663,52,3859,
100663,59,300,
100663,60,1779,
100690,1,639,All Students
100690,2,243,Undergrad
100690,3,241,
100690,5,241,
100690,11,2,
100690,12,396,Graduate
100690,19,199,
100690,20,42,
100690,21,266,
100690,22,144,
100690,23,144,
100690,25,144,
100690,32,122,
100690,39,117,
100690,40,27,
100690,41,373,
100690,42,99,
100690,43,97,
100690,45,97,
100690,51,2,
100690,52,274,
100690,59,82,
100690,60,15,
100706,1,8564,All Students
100706,2,6800,Undergrad
100706,3,6591,
100706,4,1212,
100706,5,5379,
100706,11,209,
100706,12,1764,Graduate
100706,19,584,
100706,20,4795,
100706,21,6286,
100706,22,5673,
100706,23,5670,
100706,24,1200,
100706,25,4470,
100706,31,3,
100706,32,613,
100706,39,435,
100706,40,4035,
100706,41,2278,
100706,42,1127,
100706,43,921,
100706,44,12,
100706,45,909,
100706,51,206,
100706,52,1151,
100706,59,149,
100706,60,760,
100724,1,4081,All Students
100724,2,3521,Undergrad
100724,3,3477,
100724,4,1056,
100724,5,2421,
100724,11,44,
100724,12,560,Graduate
100724,19,159,
100724,20,2262,
100724,21,3627,
100724,22,3243,
100724,23,3243,
100724,24,1053,
100724,25,2190,
100724,32,384,
100724,39,158,
100724,40,2032,
100724,41,454,
100724,42,278,
100724,43,234,
100724,44,3,
100724,45,231,
100724,51,44,
100724,52,176,
100724,59,1,
100724,60,230,
100751,1,40846,All Students
100751,2,34389,Undergrad
100751,3,33227,
100751,4,8032,
100751,5,25195,
100751,11,1162,
100751,12,6457,Graduate
100751,19,1212,
100751,20,23983,
100751,21,34908,
100751,22,31038,
100751,23,30973,
100751,24,7973,
100751,25,23000,
100751,31,65,
100751,32,3870,
100751,39,863,
100751,40,22137,
100751,41,5938,
100751,42,3351,
100751,43,2254,
100751,44,59,
100751,45,2195,
100751,51,1097,
100751,52,2587,
100751,59,349,
100751,60,1846,
100760,1,2140,All Students
100760,2,2140,Undergrad
100760,3,1203,
100760,4,384,
100760,5,819,
100760,11,937,
100760,19,158,
100760,20,661,
100760,21,580,
100760,22,580,
100760,23,559,
100760,24,281,
100760,25,278,
100760,31,21,
100760,39,44,
100760,40,234,
100760,41,1560,
100760,42,1560,
100760,43,644,
100760,44,103,
100760,45,541,
100760,51,916,
100760,59,114,
100760,60,427,
100812,1,2986,All Students
100812,2,2535,Undergrad
100812,3,2446,
100812,5,2446,
100812,11,89,
100812,12,451,Graduate
100812,19,697,
100812,20,1749,
100812,21,1196,
100812,22,1117,
100812,23,1114,
100812,25,1114,
100812,31,3,
100812,32,79,
100812,39,438,
100812,40,676,
100812,41,1790,
100812,42,1418,
100812,43,1332,
100812,45,1332,
100812,51,86,
100812,52,372,
100812,59,259,
100812,60,1073,
100830,1,5217,All Students
100830,2,3325,Undergrad
100830,3,2542,
100830,4,364,
100830,5,2178,
100830,11,783,
100830,12,1892,Graduate
100830,19,274,
100830,20,1904,
100830,21,2723,
100830,22,2224,
100830,23,2024,
100830,24,346,
100830,25,1678,
100830,31,200,
100830,32,499,
100830,39,226,
100830,40,1452,
100830,41,2494,
100830,42,1101,
100830,43,518,
100830,44,18,
100830,45,500,
100830,51,583,
100830,52,1393,
100830,59,48,
100830,60,452,
100858,1,34145,All Students
100858,2,27907,Undergrad
100858,3,26816,
100858,4,6103,
100858,5,20713,
100858,11,1091,
100858,12,6238,Graduate
100858,19,1201,
100858,20,19512,
100858,21,28856,
100858,22,25204,
100858,23,25177,
100858,24,6081,
100858,25,19096,
100858,31,27,
100858,32,3652,
100858,39,1076,
100858,40,18020,
100858,41,5289,
100858,42,2703,
100858,43,1639,
100858,44,22,
100858,45,1617,
100858,51,1064,
100858,52,2586,
100858,59,125,
100858,60,1492,
101028,1,1705,All Students
101028,2,1705,Undergrad
101028,3,1110,
101028,4,314,
101028,5,796,
101028,11,595,
101028,19,160,
101028,20,636,
101028,21,555,
101028,22,555,
101028,23,523,
101028,24,225,
