UNITID,Pop_Code,Total_Pop,Fully_online,Partially_Online,No_online,Population,Year
100654,1,7295,325,4821,2149,All Students,2024
100654,2,6370,257,4422,1691,Undergrad,2024
100654,3,6124,251,4366,1507,,2024
100654,11,246,6,56,184,,2024
100654,12,925,68,399,458,Graduate,2024
100663,1,20905,5802,8665,6438,All Students,2024
100663,2,11959,2288,6983,2688,Undergrad,2024
100663,3,11635,2169,6928,2538,,2024
100663,11,324,119,55,150,,2024
100663,12,8946,3514,1682,3750,Graduate,2024
100690,1,639,639,,,All Students,2024
100690,2,243,243,,,Undergrad,2024
100690,3,241,241,,,,2024
100690,11,2,2,,,,2024
100690,12,396,396,,,Graduate,2024
100706,1,8564,924,4322,3318,All Students,2024
100706,2,6800,440,4072,2288,Undergrad,2024
100706,3,6591,405,4033,2153,,2024
100706,11,209,35,39,135,,2024
100706,12,1764,484,250,1030,Graduate,2024
100724,1,4081,548,3080,453,All Students,2024
100724,2,3521,244,2864,413,Undergrad,2024
100724,3,3477,209,2860,408,,2024
100724,11,44,35,4,5,,2024
100724,12,560,304,216,40,Graduate,2024
100751,1,40846,6289,11899,22658,All Students,2024
100751,2,34389,3400,11217,19772,Undergrad,2024
100751,3,33227,2389,11193,19645,,2024
100751,11,1162,1011,24,127,,2024
100751,12,6457,2889,682,2886,Graduate,2024
100760,1,2140,487,778,875,All Students,2024
100760,2,2140,487,778,875,Undergrad,2024
100760,3,1203,249,543,411,,2024
100760,11,937,238,235,464,,2024
100812,1,2986,2141,650,195,All Students,2024
100812,2,2535,1702,640,193,Undergrad,2024
100812,3,2446,1623,636,187,,2024
100812,11,89,79,4,6,,2024
100812,12,451,439,10,2,Graduate,2024
100830,1,5217,1356,1882,1979,All Students,2024
100830,2,3325,843,1403,1079,Undergrad,2024
100830,3,2542,428,1285,829,,2024
100830,11,783,415,118,250,,2024
100830,12,1892,513,479,900,Graduate,2024
100858,1,34145,3255,10871,20019,All Students,2024
100858,2,27907,1409,10339,16159,Undergrad,2024
100858,3,26816,614,10329,15873,,2024
100858,11,1091,795,10,286,,2024
100858,12,6238,1846,532,3860,Graduate,2024
101028,1,1705,210,540,955,All Students,2024
101028,2,1705,210,540,955,Undergrad,2024
101028,3,1110,178,480,452,,2024
101028,11,595,32,60,503,,2024
101116,1,303,185,45,73,All Students,2024
101116,2,299,181,45,73,Undergrad,2024
101116,3,299,181,45,73,,2024
101116,12,4,4,0,0,Graduate,2024
101143,1,2699,752,738,1209,All Students,2024
101143,2,2699,752,738,1209,Undergrad,2024
101143,3,1585,393,582,610,,2024
101143,11,1114,359,156,599,,2024
101161,1,7553,2323,2218,3012,All Students,2024
101161,2,7553,2323,2218,3012,Undergrad,2024
101161,3,4798,1174,1935,1689,,2024
101161,11,2755,1149,283,1323,,2024
101189,1,3086,1472,381,1233,All Students,2024
101189,2,1758,772,334,652,Undergrad,2024
101189,3,1549,765,331,453,,2024
101189,11,209,7,3,199,,2024
101189,12,1328,700,47,581,Graduate,2024
101240,1,5071,1060,1746,2265,All Students,2024
101240,2,5071,1060,1746,2265,Undergrad,2024
101240,3,3548,747,1600,1201,,2024
101240,11,1523,313,146,1064,,2024
101277,1,81,,,81,All Students,2024
101277,2,81,,,81,Undergrad,2024
101277,3,81,,,81,,2024
101286,1,4044,696,1048,2300,All Students,2024
101286,2,4044,696,1048,2300,Undergrad,2024
101286,3,3017,530,966,1521,,2024
101286,11,1027,166,82,779,,2024
101295,1,6424,1292,2066,3066,All Students,2024
101295,2,6424,1292,2066,3066,Undergrad,2024
101295,3,4423,978,1803,1642,,2024
101295,11,2001,314,263,1424,,2024
101301,1,1925,890,392,643,All Students,2024
101301,2,1925,890,392,643,Undergrad,2024
101301,3,855,285,280,290,,2024
101301,11,1070,605,112,353,,2024
101365,1,444,195,122,127,All Students,2024
101365,2,442,193,122,127,Undergrad,2024
101365,3,442,193,122,127,,2024
101365,12,2,2,0,0,Graduate,2024
101435,1,892,0,154,738,All Students,2024
101435,2,880,0,154,726,Undergrad,2024
101435,3,879,0,154,725,,2024
101435,11,1,0,0,1,,2024
101435,12,12,,,12,Graduate,2024
101453,1,178,159,12,7,All Students,2024
101453,2,93,75,11,7,Undergrad,2024
101453,3,75,57,11,7,,2024
101453,11,18,18,0,0,,2024
101453,12,85,84,1,0,Graduate,2024
101462,1,1187,217,403,567,All Students,2024
101462,2,1187,217,403,567,Undergrad,2024
101462,3,755,103,393,259,,2024
101462,11,432,114,10,308,,2024
101471,1,960,,,960,All Students,2024
101471,2,960,,,960,Undergrad,2024
101471,3,960,,,960,,2024
101480,1,9955,2358,5026,2571,All Students,2024
101480,2,8663,1430,4778,2455,Undergrad,2024
101480,3,7036,723,4531,1782,,2024
101480,11,1627,707,247,673,,2024
101480,12,1292,928,248,116,Graduate,2024
101505,1,9240,3199,2085,3956,All Students,2024
101505,2,9240,3199,2085,3956,Undergrad,2024
101505,3,5470,1983,1852,1635,,2024
101505,11,3770,1216,233,2321,,2024
101514,1,9119,3101,2630,3388,All Students,2024
101514,2,9119,3101,2630,3388,Undergrad,2024
101514,3,7070,2489,2509,2072,,2024
101514,11,2049,612,121,1316,,2024
101569,1,3453,746,1126,1581,All Students,2024
101569,2,3453,746,1126,1581,Undergrad,2024
101569,3,2900,451,1100,1349,,2024
101569,11,553,295,26,232,,2024
101587,1,6820,5126,591,1103,All Students,2024
101587,2,2983,1745,421,817,Undergrad,2024
101587,3,2974,1741,421,812,,2024
101587,11,9,4,0,5,,2024
101587,12,3837,3381,170,286,Graduate,2024
101602,1,2062,599,755,708,All Students,2024
101602,2,2062,599,755,708,Undergrad,2024
101602,3,1097,206,601,290,,2024
101602,11,965,393,154,418,,2024
101648,1,332,0,98,234,All Students,2024
101648,2,332,0,98,234,Undergrad,2024
101648,3,329,0,98,231,,2024
101648,11,3,0,0,3,,2024
101675,1,1180,585,263,332,All Students,2024
101675,2,1180,585,263,332,Undergrad,2024
101675,3,1155,585,262,308,,2024
101675,11,25,0,1,24,,2024
101693,1,1545,55,0,1490,All Students,2024
101693,2,1308,50,0,1258,Undergrad,2024
101693,3,1307,50,0,1257,,2024
101693,11,1,0,0,1,,2024
101693,12,237,5,0,232,Graduate,2024
101709,1,3088,719,1262,1107,All Students,2024
101709,2,2642,514,1181,947,Undergrad,2024
101709,3,2151,54,1179,918,,2024
101709,11,491,460,2,29,,2024
101709,12,446,205,81,160,Graduate,2024
101736,1,4665,1094,1308,2263,All Students,2024
101736,2,4665,1094,1308,2263,Undergrad,2024
101736,3,1969,425,846,698,,2024
101736,11,2696,669,462,1565,,2024
101879,1,10204,3306,3436,3462,All Students,2024
101879,2,7662,1126,3317,3219,Undergrad,2024
